reference_period_desc,asd_code,year,zip_5,sector_desc,state_ansi,begin_code,location_desc,Value,unit_desc,watershed_code,domain_desc,country_code,freq_desc,end_code,group_desc,county_ansi,commodity_desc,asd_desc,agg_level_desc,state_alpha,source_desc,domaincat_desc,state_name,congr_district_code,county_code,CV (%),short_desc,week_ending,prodn_practice_desc,state_fips_code,statisticcat_desc,region_desc,country_name,load_time,class_desc,county_name,util_practice_desc,watershed_desc
YEAR - NOV FORECAST,,2010,,CROPS,19,00,IOWA,"29,950",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2015-06-24 14:04:29.000,ALL CLASSES,,GRAIN,
YEAR - OCT FORECAST,,2010,,CROPS,19,00,IOWA,"30,000",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2015-06-24 14:04:29.000,ALL CLASSES,,GRAIN,
YEAR - SEP FORECAST,,2010,,CROPS,19,00,IOWA,"30,050",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2015-06-24 14:04:29.000,ALL CLASSES,,GRAIN,
YEAR,,2009,,CROPS,19,00,IOWA,"29,400",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2015-06-24 14:04:29.000,ALL CLASSES,,GRAIN,
YEAR - NOV FORECAST,,2009,,CROPS,19,00,IOWA,"29,400",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2015-06-24 14:04:29.000,ALL CLASSES,,GRAIN,
YEAR - OCT FORECAST,,2009,,CROPS,19,00,IOWA,"29,450",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2015-06-24 14:04:29.000,ALL CLASSES,,GRAIN,
YEAR - SEP FORECAST,,2009,,CROPS,19,00,IOWA,"29,500",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2015-06-24 14:04:29.000,ALL CLASSES,,GRAIN,
YEAR,,2008,,CROPS,19,00,IOWA,"29,250",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2015-06-24 14:04:29.000,ALL CLASSES,,GRAIN,
YEAR - NOV FORECAST,,2008,,CROPS,19,00,IOWA,"29,250",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2015-06-24 14:04:29.000,ALL CLASSES,,GRAIN,
YEAR - OCT FORECAST,,2008,,CROPS,19,00,IOWA,"29,250",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2015-06-24 14:04:29.000,ALL CLASSES,,GRAIN,
YEAR - SEP FORECAST,,2008,,CROPS,19,00,IOWA,"29,300",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2015-06-24 14:04:29.000,ALL CLASSES,,GRAIN,
YEAR,,2007,,CROPS,19,00,IOWA,"29,100",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2015-06-24 14:04:29.000,ALL CLASSES,,GRAIN,
YEAR - NOV FORECAST,,2007,,CROPS,19,00,IOWA,"29,100",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2015-06-24 14:04:29.000,ALL CLASSES,,GRAIN,
YEAR - OCT FORECAST,,2007,,CROPS,19,00,IOWA,"29,100",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2015-06-24 14:04:29.000,ALL CLASSES,,GRAIN,
YEAR - SEP FORECAST,,2007,,CROPS,19,00,IOWA,"29,100",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2015-06-24 14:04:29.000,ALL CLASSES,,GRAIN,
YEAR,,2006,,CROPS,19,00,IOWA,"28,600",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2015-06-24 14:04:29.000,ALL CLASSES,,GRAIN,
YEAR - NOV FORECAST,,2006,,CROPS,19,00,IOWA,"28,600",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2015-06-24 14:04:29.000,ALL CLASSES,,GRAIN,
YEAR - OCT FORECAST,,2006,,CROPS,19,00,IOWA,"28,600",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2015-06-24 14:04:29.000,ALL CLASSES,,GRAIN,
YEAR - SEP FORECAST,,2006,,CROPS,19,00,IOWA,"28,600",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2015-06-24 14:04:29.000,ALL CLASSES,,GRAIN,
YEAR,,2005,,CROPS,19,00,IOWA,"28,000",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2015-06-24 14:04:29.000,ALL CLASSES,,GRAIN,
YEAR - NOV FORECAST,,2005,,CROPS,19,00,IOWA,"28,000",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2015-06-24 14:04:29.000,ALL CLASSES,,GRAIN,
YEAR - OCT FORECAST,,2005,,CROPS,19,00,IOWA,"27,950",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2015-06-24 14:04:29.000,ALL CLASSES,,GRAIN,
YEAR - SEP FORECAST,,2005,,CROPS,19,00,IOWA,"28,050",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2015-06-24 14:04:29.000,ALL CLASSES,,GRAIN,
YEAR,,2004,,CROPS,19,00,IOWA,"27,850",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2015-06-24 14:04:29.000,ALL CLASSES,,GRAIN,
YEAR - NOV FORECAST,,2004,,CROPS,19,00,IOWA,"27,850",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2015-06-24 14:04:29.000,ALL CLASSES,,GRAIN,
YEAR - OCT FORECAST,,2004,,CROPS,19,00,IOWA,"27,950",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2015-06-24 14:04:29.000,ALL CLASSES,,GRAIN,
YEAR - SEP FORECAST,,2004,,CROPS,19,00,IOWA,"28,000",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2015-06-24 14:04:29.000,ALL CLASSES,,GRAIN,
YEAR,,2003,,CROPS,19,00,IOWA,"27,250",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2015-06-24 14:04:29.000,ALL CLASSES,,GRAIN,
YEAR - NOV FORECAST,,2003,,CROPS,19,00,IOWA,"27,250",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2015-06-24 14:04:29.000,ALL CLASSES,,GRAIN,
YEAR - OCT FORECAST,,2003,,CROPS,19,00,IOWA,"27,250",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2015-06-24 14:04:29.000,ALL CLASSES,,GRAIN,
YEAR - SEP FORECAST,,2003,,CROPS,19,00,IOWA,"27,400",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2015-06-24 14:04:29.000,ALL CLASSES,,GRAIN,
YEAR,,2002,,CROPS,19,00,IOWA,"26,700",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2015-06-24 14:04:29.000,ALL CLASSES,,GRAIN,
YEAR - NOV FORECAST,,2002,,CROPS,19,00,IOWA,"26,700",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2015-06-24 14:04:29.000,ALL CLASSES,,GRAIN,
YEAR - OCT FORECAST,,2002,,CROPS,19,00,IOWA,"26,700",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2015-06-24 14:04:29.000,ALL CLASSES,,GRAIN,
YEAR - SEP FORECAST,,2002,,CROPS,19,00,IOWA,"26,850",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2015-06-24 14:04:29.000,ALL CLASSES,,GRAIN,
YEAR,,2001,,CROPS,19,00,IOWA,"26,450",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2015-06-24 14:04:29.000,ALL CLASSES,,GRAIN,
YEAR - NOV FORECAST,,2001,,CROPS,19,00,IOWA,"26,450",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2015-06-24 14:04:29.000,ALL CLASSES,,GRAIN,
YEAR - OCT FORECAST,,2001,,CROPS,19,00,IOWA,"26,550",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2015-06-24 14:04:29.000,ALL CLASSES,,GRAIN,
YEAR - SEP FORECAST,,2001,,CROPS,19,00,IOWA,"26,500",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2015-06-24 14:04:29.000,ALL CLASSES,,GRAIN,
YEAR,,2000,,CROPS,19,00,IOWA,"26,300",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2015-06-24 14:04:29.000,ALL CLASSES,,GRAIN,
YEAR - NOV FORECAST,,2000,,CROPS,19,00,IOWA,"26,300",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2015-06-24 14:04:29.000,ALL CLASSES,,GRAIN,
YEAR - OCT FORECAST,,2000,,CROPS,19,00,IOWA,"26,200",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2015-06-24 14:04:29.000,ALL CLASSES,,GRAIN,
YEAR - SEP FORECAST,,2000,,CROPS,19,00,IOWA,"26,500",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2015-06-24 14:04:29.000,ALL CLASSES,,GRAIN,
