B,Category,Cu,Cycle_Year,DISTRICT,DISTRICT_L,EC,Feature_ID,K,Mn,N,OC,P,S,STATE,STATE_LGD,Scan_Lat,Scan_Lon,TEHSIL,VILLAGE,Zn,fe,pH
0.365,Deficient,0.59,2017-19,BAGALKOT,524,0.15,29_524_shc_2017-19.502,327.43,2.05,275.15,0.48,24.4355,13.0,KARNATAKA,29,16.08200000000002,76.1839999999972,HUNGUND,HEMAVADGI,0.205,0.32,8.1
0.62,Sufficient,1.23,2017-19,BAGALKOT,524,0.19,29_524_shc_2017-19.380,444.4815,5.78,266.555,0.47,17.61,32.5,KARNATAKA,29,16.086000000000016,75.88799999999789,HUNGUND,RAMTHAL,0.34,0.76,7.9
0.63,Sufficient,0.5,2017-19,BAGALKOT,524,0.24,29_524_shc_2017-19.521,322.2,1.78,361.13,0.6,23.48,55.0,KARNATAKA,29,16.086000000000016,76.2259999999971,HUNGUND,KARADI,0.22,0.31,8.2
0.63,Sufficient,2.14,2017-19,BAGALKOT,524,0.17,29_524_shc_2017-19.174,285.53,3.55,160.5,0.28,15.11,38.5,KARNATAKA,29,16.088000000000015,75.50999999999877,BADAMI,KALABANDAKERI,1.135,0.7,8.05
0.86,Sufficient,0.33,2017-19,BAGALKOT,524,0.14,29_524_shc_2017-19.295,493.54,1.44,200.63,0.35,12.8,15.25,KARNATAKA,29,16.090000000000014,75.72199999999827,BADAMI,LINGAPUR,0.22,0.35,8.7
0.34,Deficient,0.585,2017-19,BAGALKOT,524,0.23,29_524_shc_2017-19.396,219.6005,2.21,245.278,0.41,29.21,19.84,KARNATAKA,29,16.094000000000012,76.02999999999756,HUNGUND,HIRE MAGI,0.31,0.57,7.81
0.44,Deficient,0.53,2017-19,BAGALKOT,524,0.11,29_524_shc_2017-19.247,258.02,1.7,269.41,0.43,44.63,28.25,KARNATAKA,29,16.09600000000001,75.63799999999847,BADAMI,KATAGERI,0.35,0.685,7.6
0.42,Deficient,0.785,2017-19,BAGALKOT,524,0.28,29_524_shc_2017-19.470,275.4,4.32,289.425,0.5,21.02,61.5,KARNATAKA,29,16.09600000000001,76.11199999999737,HUNGUND,HAGEDAL,0.22,0.3,8.25
0.39,Deficient,1.28,2017-19,BAGALKOT,524,0.16,29_524_shc_2017-19.211,437.175,3.95,338.21,0.59,25.03,34.5,KARNATAKA,29,16.09800000000001,75.57199999999862,BADAMI,BANDKERI,0.36,0.63,7.6
0.64,Sufficient,0.59,2017-19,BAGALKOT,524,0.14,29_524_shc_2017-19.505,261.9,2.06,257.954,0.44,13.65,47.0,KARNATAKA,29,16.10000000000001,76.18799999999719,HUNGUND,PALTI,0.16,0.34,8.2
0.56,Sufficient,1.09,2017-19,BAGALKOT,524,0.31,29_524_shc_2017-19.478,203.4,2.77,439.04,0.73,33.12,31.5,KARNATAKA,29,16.102000000000007,76.13399999999731,HUNGUND,REVADIHAL,0.52,0.46,7.7
0.53,Sufficient,0.81,2017-19,BAGALKOT,524,0.23,29_524_shc_2017-19.484,284.4,4.89,330.32,0.55,19.7035,34.125,KARNATAKA,29,16.104000000000006,76.14799999999728,HUNGUND,CHINTA KAMALDINNI,0.27,0.38,8.1
0.91,Sufficient,0.38,2017-19,BAGALKOT,524,0.1,29_524_shc_2017-19.446,160.4,3.36,154.77,0.27,30.3,11.75,KARNATAKA,29,16.106000000000005,76.03399999999755,HUNGUND,TIMMAPUR,0.3,0.77,8.2
0.72,Sufficient,0.37,2017-19,BAGALKOT,524,0.29,29_524_shc_2017-19.462,325.46,2.34,194.9,0.34,21.3,27.0,KARNATAKA,29,16.106000000000005,76.09199999999741,HUNGUND,RAMAVADGI,0.2,0.41,8.1
0.6,Sufficient,1.47,2017-19,BAGALKOT,524,0.17,29_524_shc_2017-19.226,315.0,6.69,298.08,0.52,21.02,39.75,KARNATAKA,29,16.108000000000004,75.59799999999856,BADAMI,HULAGERI,0.39,0.7,7.8
0.6,Sufficient,0.39,2017-19,BAGALKOT,524,0.18,29_524_shc_2017-19.145,297.5,1.68,361.13,0.42,16.56,23.0,KARNATAKA,29,16.110000000000003,75.45799999999889,BADAMI,ANVAL,0.34,1.07,8.09
0.51,Sufficient,0.57,2017-19,BAGALKOT,524,0.16,29_524_shc_2017-19.385,294.3,3.21,240.76,0.39,26.75,46.25,KARNATAKA,29,16.110000000000003,75.90199999999786,HUNGUND,BEVINAL,0.24,0.66,7.7
0.29,Deficient,0.82,2017-19,BAGALKOT,524,0.3,29_524_shc_2017-19.516,177.07,5.86,295.35,0.51,15.02,32.5,KARNATAKA,29,16.116,76.2259999999971,HUNGUND,POCHAPUR,0.15,0.44,8.3
0.87,Sufficient,0.71,2017-19,BAGALKOT,524,0.24,29_524_shc_2017-19.325,483.53,2.28,298.08,0.52,25.94,34.0,KARNATAKA,29,16.118,75.78199999999813,BAGALKOTE,SIRUR,0.41,0.32,8.3
1.1,Sufficient,1.57,2017-19,BAGALKOT,524,0.21,29_524_shc_2017-19.108,226.463,7.06,370.28,0.65,19.11,18.0,KARNATAKA,29,16.119999999999997,75.39799999999903,MUDHOL,BARLIKATTI,0.33,0.39,8.0
0.25,Deficient,0.46,2017-19,BAGALKOT,524,0.12,29_524_shc_2017-19.278,292.5,1.76,395.1,0.57,25.84,12.46,KARNATAKA,29,16.121999999999996,75.70399999999832,BAGALKOTE,NIRALKERI,0.28,2.41,7.85
0.59,Sufficient,0.85,2017-19,BAGALKOT,524,0.34,29_524_shc_2017-19.493,224.269,3.17,280.88,0.49,23.48,43.5,KARNATAKA,29,16.121999999999996,76.17399999999722,HUNGUND,LOLASAR,0.17,0.43,8.3
0.61,Sufficient,0.805,2017-19,BAGALKOT,524,0.24,29_524_shc_2017-19.474,186.07,4.37,363.77,0.48,28.39,23.5,KARNATAKA,29,16.121999999999996,76.12999999999732,HUNGUND,KADIVAL,0.39,0.46,7.82
0.48,Deficient,0.855,2017-19,BAGALKOT,524,0.27,29_524_shc_2017-19.375,238.5,3.2,269.17,0.47,39.585,20.75,KARNATAKA,29,16.123999999999995,75.87799999999791,HUNGUND,INGALGI,0.28,0.3,8.05
0.38,Deficient,2.09,2017-19,BAGALKOT,524,0.14,29_524_shc_2017-19.238,348.3,6.19,475.78,0.83,34.13,53.75,KARNATAKA,29,16.127999999999993,75.61999999999851,BADAMI,KAGALGOMB,0.4,0.76,7.9
0.57,Sufficient,1.09,2017-19,BAGALKOT,524,0.14,29_524_shc_2017-19.206,499.5,6.96,355.4,0.62,27.39,41.0,KARNATAKA,29,16.129999999999992,75.56399999999864,BADAMI,GANGAN BUDIHAL,0.43,0.9,7.8
0.51,Sufficient,0.61,2017-19,BAGALKOT,524,0.1,29_524_shc_2017-19.69,265.61,3.8,177.7,0.31,31.0,12.0,KARNATAKA,29,16.13199999999999,75.31399999999923,MUDHOL,MALLAPUR,0.28,0.84,7.4
0.32,Deficient,1.46,2017-19,BAGALKOT,524,0.163,29_524_shc_2017-19.188,434.138,5.39,395.53,0.65,25.12,39.0,KARNATAKA,29,16.13199999999999,75.52799999999873,BADAMI,NIR BUDIHAL,0.48,1.4,7.69
0.86,Sufficient,0.58,2017-19,BAGALKOT,524,0.17,29_524_shc_2017-19.395,455.18,1.59,418.46,0.73,15.02,36.5,KARNATAKA,29,16.13399999999999,75.9239999999978,HUNGUND,BUDIHAL,0.34,0.26,8.0
0.71,Sufficient,0.84,2017-19,BAGALKOT,524,0.42,29_524_shc_2017-19.434,338.96,5.7,384.06,0.67,28.48,52.0,KARNATAKA,29,16.13399999999999,76.00799999999761,HUNGUND,HADAGALI,1.68,0.41,8.2
0.82,Sufficient,0.96,2017-19,BAGALKOT,524,0.12,29_524_shc_2017-19.406,239.51,2.63,252.221,0.44,18.29,19.5,KARNATAKA,29,16.13599999999999,75.95199999999774,HUNGUND,KHAIRAVADGI,0.26,0.46,7.9
0.72,Sufficient,0.58,2017-19,BAGALKOT,524,0.24,29_524_shc_2017-19.377,370.238,6.01,372.6,0.65,21.75,53.75,KARNATAKA,29,16.139999999999986,75.8799999999979,HUNGUND,YERNAIKANHAL,0.21,0.52,7.7
0.45,Deficient,0.515,2017-19,BAGALKOT,524,0.22,29_524_shc_2017-19.387,498.15,3.1,280.88,0.49,16.65,31.0,KARNATAKA,29,16.141999999999985,75.90399999999785,HUNGUND,BASAVANAL,0.25,0.56,8.1
0.95,Sufficient,1.28,2017-19,BAGALKOT,524,0.235,29_524_shc_2017-19.301,432.79,3.81,358.27,0.65,11.47,17.5,KARNATAKA,29,16.141999999999985,75.73199999999825,BAGALKOTE,BEVIMATTI,0.63,0.25,7.8
0.6,Sufficient,0.65,2017-19,BAGALKOT,524,0.21,29_524_shc_2017-19.382,499.95,5.225,361.13,0.63,16.655,41.0,KARNATAKA,29,16.141999999999985,75.89199999999788,HUNGUND,SURALIKAL,0.29,0.63,7.8
0.49,Deficient,1.87,2017-19,BAGALKOT,524,0.15,29_524_shc_2017-19.147,612.9,6.89,355.4,0.62,25.753,40.0,KARNATAKA,29,16.143999999999984,75.46199999999888,BADAMI,YANDIGERI,0.51,0.7,7.9
0.37,Deficient,0.63,2017-19,BAGALKOT,524,0.27,29_524_shc_2017-19.358,349.875,3.06,332.47,0.58,24.39,53.5,KARNATAKA,29,16.143999999999984,75.84999999999798,HUNGUND,BASARIKATTI,0.25,0.52,7.9
0.95,Sufficient,0.69,2017-19,BAGALKOT,524,0.16,29_524_shc_2017-19.425,478.46,3.48,177.7,0.31,23.11,16.75,KARNATAKA,29,16.143999999999984,75.98599999999766,HUNGUND,CHIKKAMALAGAVI,0.32,2.34,7.8
1.6,Sufficient,0.76,2017-19,BAGALKOT,524,0.14,29_524_shc_2017-19.444,158.4,1.46,265.1,0.46,26.03,25.5,KARNATAKA,29,16.145999999999983,76.02999999999756,HUNGUND,BELGAL,0.14,0.31,8.1
0.86,Sufficient,0.49,2017-19,BAGALKOT,524,0.2,29_524_shc_2017-19.509,336.49,3.055,255.085,0.445,35.13,59.25,KARNATAKA,29,16.145999999999983,76.19799999999717,HUNGUND,VADEYARAGONAL,0.53,0.27,8.1
0.73,Sufficient,0.88,2017-19,BAGALKOT,524,0.2,29_524_shc_2017-19.196,205.0,3.025,409.0,0.715,19.02,35.0,KARNATAKA,29,16.147999999999982,75.41999999999898,BAGALKOTE,HIRE SHELLIKERE,0.22,0.28,8.2
0.36,Deficient,0.51,2017-19,BAGALKOT,524,0.27,29_524_shc_2017-19.394,325.688,2.89,349.67,0.55,21.02,19.84,KARNATAKA,29,16.147999999999982,75.91999999999781,HUNGUND,MUGANUR,0.35,0.98,7.52
1.0,Sufficient,0.89,2017-19,BAGALKOT,524,0.26,29_524_shc_2017-19.178,164.36,2.39,389.8,0.68,28.21,36.5,KARNATAKA,29,16.15399999999998,75.51799999999875,BAGALKOTE,CHIKKASHELLIKERE,0.21,0.22,8.2
0.68,Sufficient,1.58,2017-19,BAGALKOT,524,0.11,29_524_shc_2017-19.81,459.0,3.53,470.05,0.825,19.245,42.75,KARNATAKA,29,16.155999999999977,75.33799999999917,MUDHOL,LOKAPUR,0.19,0.715,7.9
0.61,Sufficient,1.075,2017-19,BAGALKOT,524,0.16,29_524_shc_2017-19.118,190.239,1.89,349.67,0.62,27.1,40.5,KARNATAKA,29,16.157999999999976,75.41599999999899,MUDHOL,JALIKATTI BK,0.175,0.35,8.0
0.74,Sufficient,0.69,2017-19,BAGALKOT,524,0.33,29_524_shc_2017-19.173,176.288,1.69,395.5,0.69,22.204,34.0,KARNATAKA,29,16.157999999999976,75.50599999999878,BAGALKOTE,KALASKOPPA,0.19,0.28,8.1
0.74,Sufficient,2.26,2017-19,BAGALKOT,524,0.24,29_524_shc_2017-19.448,782.55,7.47,263.42,0.47,29.2,61.25,KARNATAKA,29,16.157999999999976,76.04199999999753,HUNGUND,BISANAL,0.75,0.39,7.96
0.6,Sufficient,0.68,2017-19,BAGALKOT,524,0.16,29_524_shc_2017-19.456,248.3,2.22,269.42,0.47,20.34,67.875,KARNATAKA,29,16.157999999999976,76.05999999999749,HUNGUND,INGALAGGI,0.15,0.315,8.0
0.6,Sufficient,0.61,2017-19,BAGALKOT,524,0.22,29_524_shc_2017-19.508,353.14,3.26,275.15,0.42,21.57,33.75,KARNATAKA,29,16.161999999999974,76.19599999999717,HUNGUND,ANAPAKATTI,0.2,0.32,8.3
0.6,Sufficient,0.49,2017-19,BAGALKOT,524,0.27,29_524_shc_2017-19.500,338.175,1.84,240.76,0.42,18.2,30.25,KARNATAKA,29,16.161999999999974,76.1819999999972,HUNGUND,KAUJAGANUR,0.18,0.33,8.2
0.865,Sufficient,0.48,2017-19,BAGALKOT,524,0.225,29_524_shc_2017-19.513,454.335,3.31,197.81,0.34,14.74,34.5,KARNATAKA,29,16.161999999999974,76.20799999999714,HUNGUND,INDVAR,0.25,0.275,8.15
0.43,Deficient,1.47,2017-19,BAGALKOT,524,0.18,29_524_shc_2017-19.148,440.78,3.77,372.6,0.65,5.369,64.75,KARNATAKA,29,16.163999999999973,75.46599999999887,BAGALKOTE,MALAPUR,0.64,0.33,8.4
0.76,Sufficient,0.66,2017-19,BAGALKOT,524,0.27,29_524_shc_2017-19.310,487.01,6.96,338.21,0.59,14.01,57.75,KARNATAKA,29,16.165999999999972,75.74999999999821,BAGALKOTE,HONNAKATTI,0.22,0.24,8.4
0.45,Deficient,1.16,2017-19,BAGALKOT,524,0.11,29_524_shc_2017-19.328,368.55,4.05,372.6,0.65,23.29,47.25,KARNATAKA,29,16.165999999999972,75.78599999999813,BAGALKOTE,MANNIKATTI,0.39,0.5,7.8
0.75,Sufficient,0.57,2017-19,BAGALKOT,524,0.215,29_524_shc_2017-19.467,284.735,2.93,246.49,0.43,23.023,35.75,KARNATAKA,29,16.165999999999972,76.10799999999738,HUNGUND,HULLYAL,0.19,0.41,8.1
0.44,Deficient,0.56,2017-19,BAGALKOT,524,0.23,29_524_shc_2017-19.520,284.063,2.51,303.81,0.48,18.2,30.5,KARNATAKA,29,16.165999999999972,76.2259999999971,HUNGUND,ISLAMPUR,0.34,0.57,7.93
0.9,Sufficient,1.11,2017-19,BAGALKOT,524,0.48,29_524_shc_2017-19.139,204.57,5.34,240.76,0.42,13.7,48.5,KARNATAKA,29,16.16999999999997,75.4519999999989,BAGALKOTE,KAJADONI,0.32,0.26,8.04
0.8,Sufficient,0.7,2017-19,BAGALKOT,524,0.2,29_524_shc_2017-19.463,327.825,4.29,280.883,0.49,18.2,51.5,KARNATAKA,29,16.16999999999997,76.09199999999741,HUNGUND,DHANNUR,0.23,0.36,8.1
0.96,Sufficient,0.73,2017-19,BAGALKOT,524,0.09,29_524_shc_2017-19.363,419.74,9.5,315.28,0.55,33.85,11.5,KARNATAKA,29,16.17199999999997,75.85599999999796,BAGALKOTE,BHAIRNMATTI,0.59,1.19,7.0
0.94,Sufficient,0.89,2017-19,BAGALKOT,524,0.24,29_524_shc_2017-19.203,238.39,4.0,338.206,0.59,24.93,45.5,KARNATAKA,29,16.177999999999965,75.55199999999867,BAGALKOTE,TULASIGERE,0.2,0.47,8.0
0.51,Sufficient,0.61,2017-19,BAGALKOT,524,0.1,29_524_shc_2017-19.300,265.61,3.8,177.7,0.31,31.0,12.0,KARNATAKA,29,16.181999999999963,75.72199999999827,BAGALKOTE,MALLAPUR,0.28,0.84,7.4
1.6,Sufficient,0.76,2017-19,BAGALKOT,524,0.14,29_524_shc_2017-19.418,158.4,1.46,265.1,0.46,26.03,25.5,KARNATAKA,29,16.18599999999996,75.9679999999977,HUNGUND,GANJIHAL,0.14,0.31,8.1
0.8,Sufficient,0.73,2017-19,BAGALKOT,524,0.2,29_524_shc_2017-19.183,170.1565,2.95,332.5,0.58,19.84,46.0,KARNATAKA,29,16.193999999999956,75.52199999999874,BAGALKOTE,GOVINDKOPPA,0.2,0.38,8.4
0.685,Sufficient,2.64,2017-19,BAGALKOT,524,0.12,29_524_shc_2017-19.353,167.063,6.08,441.4,0.78,24.39,47.5,KARNATAKA,29,16.193999999999956,75.839999999998,BAGALKOTE,HALLUR,0.5,0.76,7.4
0.41,Deficient,1.08,2017-19,BAGALKOT,524,0.25,29_524_shc_2017-19.436,281.25,3.47,298.08,0.52,28.435,36.4,KARNATAKA,29,16.193999999999956,76.0119999999976,HUNGUND,VARAGODDINNI,0.31,0.48,7.91
0.81,Sufficient,0.79,2017-19,BAGALKOT,524,0.18,29_524_shc_2017-19.455,358.76,3.87,269.42,0.47,17.75,25.625,KARNATAKA,29,16.195999999999955,76.0519999999975,HUNGUND,SANGAM,0.34,0.74,7.9
1.03,Sufficient,1.58,2017-19,BAGALKOT,524,0.37,29_524_shc_2017-19.62,129.885,4.69,475.78,0.885,24.55,33.125,KARNATAKA,29,16.201999999999952,75.29599999999927,MUDHOL,BAMANBUDNI,0.79,0.37,8.2
0.52,Sufficient,1.61,2017-19,BAGALKOT,524,0.39,29_524_shc_2017-19.98,204.413,2.58,351.23,0.608,22.205,54.5,KARNATAKA,29,16.20399999999995,75.37999999999907,MUDHOL,CHITRABHANUKOT,0.3,0.415,8.0
0.64,Sufficient,1.23,2017-19,BAGALKOT,524,0.13,29_524_shc_2017-19.111,240.75,2.34,442.03,0.809,19.74,53.5,KARNATAKA,29,16.20399999999995,75.40399999999902,MUDHOL,CHIKKUR,0.26,0.29,8.2
0.15,Deficient,1.38,2017-19,BAGALKOT,524,0.11,29_524_shc_2017-19.248,307.69,1.96,280.88,0.49,24.752,24.25,KARNATAKA,29,16.20599999999995,75.63799999999847,BAGALKOTE,GADDANKERI,0.33,0.52,7.9
0.53,Sufficient,2.82,2017-19,BAGALKOT,524,0.14,29_524_shc_2017-19.389,141.9,8.36,441.4,0.77,18.11,40.75,KARNATAKA,29,16.20599999999995,75.91199999999783,BAGALKOTE,BEVUR,0.52,0.81,7.4
0.8,Sufficient,1.44,2017-19,BAGALKOT,524,0.67,29_524_shc_2017-19.71,282.71,6.69,468.99,0.82,32.123,35.75,KARNATAKA,29,16.209999999999948,75.31799999999922,MUDHOL,MUDDAPUR,0.32,0.38,8.0
0.75,Sufficient,0.86,2017-19,BAGALKOT,524,0.15,29_524_shc_2017-19.224,288.56,1.96,355.4,0.62,15.47,31.0,KARNATAKA,29,16.209999999999948,75.59199999999858,BAGALKOTE,CHHABBI,0.29,0.45,8.2
0.5,Sufficient,0.835,2017-19,BAGALKOT,524,0.18,29_524_shc_2017-19.231,230.625,1.72,389.8,0.67,16.107,34.5,KARNATAKA,29,16.209999999999948,75.60799999999854,BAGALKOTE,YADAHALLI,0.22,0.41,8.2
0.65,Sufficient,0.74,2017-19,BAGALKOT,524,0.17,29_524_shc_2017-19.452,288.675,3.805,269.418,0.47,19.57,28.0,KARNATAKA,29,16.209999999999948,76.04599999999752,HUNGUND,CHAVAD KAMALDINNI,0.28,0.72,8.0
0.58,Sufficient,1.01,2017-19,BAGALKOT,524,0.34,29_524_shc_2017-19.243,269.1,2.6,418.46,0.73,18.2,28.5,KARNATAKA,29,16.211999999999946,75.63199999999848,BAGALKOTE,BANNIDINNI,0.22,0.49,8.2
0.75,Sufficient,0.715,2017-19,BAGALKOT,524,0.22,29_524_shc_2017-19.426,334.35,5.0,275.15,0.48,22.02,32.25,KARNATAKA,29,16.211999999999946,75.98799999999765,HUNGUND,KENGALIKADPATI,0.54,0.26,8.1
0.62,Sufficient,1.005,2017-19,BAGALKOT,524,0.21,29_524_shc_2017-19.157,182.025,4.54,384.06,0.67,18.2,47.0,KARNATAKA,29,16.213999999999945,75.47799999999884,BAGALKOTE,ANKALGI,0.235,0.52,8.25
0.83,Sufficient,0.55,2017-19,BAGALKOT,524,0.16,29_524_shc_2017-19.288,117.338,1.69,355.4,0.62,16.84,51.25,KARNATAKA,29,16.215999999999944,75.7119999999983,BAGALKOTE,ANDIMURNAL,0.17,0.31,8.4
0.5,Sufficient,1.18,2017-19,BAGALKOT,524,0.19,29_524_shc_2017-19.274,202.0,3.0,407.36,0.71,35.8075,34.75,KARNATAKA,29,16.217999999999943,75.68999999999835,BAGALKOTE,KADAMPUR,0.29,0.3,8.0
0.715,Sufficient,0.57,2017-19,BAGALKOT,524,0.16,29_524_shc_2017-19.140,255.6,2.77,252.22,0.44,16.29,52.25,KARNATAKA,29,16.219999999999942,75.4519999999989,BAGALKOTE,UDAGATTI,0.17,0.24,8.5
1.06,Sufficient,1.06,2017-19,BAGALKOT,524,0.15,29_524_shc_2017-19.261,192.49,3.86,447.09,0.78,36.4,49.25,KARNATAKA,29,16.22199999999994,75.66199999999841,BAGALKOTE,NAKARIGUNDI,0.18,0.31,8.25
0.51,Sufficient,0.95,2017-19,BAGALKOT,524,0.35,29_524_shc_2017-19.151,201.713,1.78,298.0,0.61,19.11,30.75,KARNATAKA,29,16.22599999999994,75.46999999999886,BAGALKOTE,SHARDAL,0.2,0.24,8.3
0.98,Sufficient,1.89,2017-19,BAGALKOT,524,0.18,29_524_shc_2017-19.97,209.363,4.6,452.85,0.79,24.12,21.5,KARNATAKA,29,16.227999999999938,75.37999999999907,MUDHOL,BUDNIKHURD,0.38,0.42,7.9
0.62,Sufficient,1.41,2017-19,BAGALKOT,524,0.25,29_524_shc_2017-19.67,268.988,5.0,426.5,0.69,21.9,46.0,KARNATAKA,29,16.227999999999938,75.30999999999923,MUDHOL,PETLAR,0.28,0.47,8.2
0.47,Deficient,0.74,2017-19,BAGALKOT,524,0.13,29_524_shc_2017-19.294,179.66,6.09,240.76,0.42,27.12,32.35,KARNATAKA,29,16.231999999999935,75.71999999999828,BAGALKOTE,YANKANCHI,0.35,0.71,8.0
0.51,Sufficient,1.01,2017-19,BAGALKOT,524,0.16,29_524_shc_2017-19.344,246.488,2.69,355.4,0.62,27.48,32.0,KARNATAKA,29,16.231999999999935,75.82599999999803,BAGALKOTE,ACHANUR,0.23,0.27,8.0
0.86,Sufficient,0.33,2017-19,BAGALKOT,524,0.14,29_524_shc_2017-19.167,493.54,1.44,200.63,0.35,12.8,15.25,KARNATAKA,29,16.233999999999934,75.49999999999879,BILGI,LINGAPUR,0.22,0.35,8.7
0.47,Deficient,1.08,2017-19,BAGALKOT,524,0.18,29_524_shc_2017-19.338,149.4,7.46,389.8,0.75,22.93,7.5,KARNATAKA,29,16.237999999999932,75.80999999999807,BAGALKOTE,MUDPALJIVI,0.18,0.19,8.4
0.67,Sufficient,1.1,2017-19,BAGALKOT,524,0.14,29_524_shc_2017-19.366,224.438,4.09,321.01,0.56,24.3,41.0,KARNATAKA,29,16.237999999999932,75.86399999999794,BAGALKOTE,SANGAPUR,0.25,0.37,8.0
0.79,Sufficient,0.37,2017-19,BAGALKOT,524,0.23,29_524_shc_2017-19.409,264.26,2.42,223.56,0.39,14.29,9.5,KARNATAKA,29,16.237999999999932,75.96199999999772,BAGALKOTE,DEVLAPUR,0.09,0.27,8.6
0.97,Sufficient,0.91,2017-19,BAGALKOT,524,0.48,29_524_shc_2017-19.177,565.76,7.335,252.22,0.44,37.77,23.5,KARNATAKA,29,16.23999999999993,75.51799999999875,BILGI,SIRAGUPPI,2.36,0.19,7.07
0.64,Sufficient,0.35,2017-19,BAGALKOT,524,0.24,29_524_shc_2017-19.404,273.6,1.82,149.04,0.26,13.01,11.75,KARNATAKA,29,16.24399999999993,75.94599999999775,BAGALKOTE,CHITKINKOPPA,0.17,0.3,8.6
0.81,Sufficient,0.8,2017-19,BAGALKOT,524,0.31,29_524_shc_2017-19.239,405.0,4.42,418.46,0.73,26.21,44.5,KARNATAKA,29,16.247999999999927,75.61999999999851,BILGI,ANAGVADI,0.62,0.29,8.1
1.1,Sufficient,2.87,2017-19,BAGALKOT,524,0.2,29_524_shc_2017-19.45,152.215,6.27,370.52,0.65,22.75,34.75,KARNATAKA,29,16.249999999999925,75.35999999999912,MUDHOL,METGUD,0.52,0.41,7.9
0.66,Sufficient,2.33,2017-19,BAGALKOT,524,0.31,29_524_shc_2017-19.58,193.613,5.11,464.32,0.81,9.1,20.75,KARNATAKA,29,16.249999999999925,75.2839999999993,MUDHOL,CHINCHAKHANDI BUDRUKH,0.37,0.44,7.9
0.86,Sufficient,0.58,2017-19,BAGALKOT,524,0.17,29_524_shc_2017-19.227,455.18,1.59,418.46,0.73,15.02,36.5,KARNATAKA,29,16.249999999999925,75.59999999999856,BILGI,BUDIHAL,0.34,0.26,8.0
0.52,Sufficient,0.49,2017-19,BAGALKOT,524,0.18,29_524_shc_2017-19.454,334.8,4.23,263.69,0.46,12.8785,12.75,KARNATAKA,29,16.253999999999923,76.04999999999751,HUNGUND,KATAGUR,0.36,1.94,7.9
0.69,Sufficient,3.07,2017-19,BAGALKOT,524,0.09,29_524_shc_2017-19.160,164.92,4.06,435.65,0.76,40.131,36.75,KARNATAKA,29,16.255999999999922,75.48599999999882,BILGI,KATARKI,1.01,0.68,7.5
0.75,Sufficient,2.36,2017-19,BAGALKOT,524,0.2,29_524_shc_2017-19.249,281.309,6.39,475.78,0.83,30.3,37.5,KARNATAKA,29,16.25999999999992,75.63799999999847,BILGI,KADAPATTI,0.79,0.43,7.9
1.2,Sufficient,0.77,2017-19,BAGALKOT,524,0.611,29_524_shc_2017-19.373,578.59,7.28,269.42,0.47,11.74,48.5,KARNATAKA,29,16.25999999999992,75.87199999999793,BAGALKOTE,BILKERUR,2.25,0.31,8.2
0.92,Sufficient,0.97,2017-19,BAGALKOT,524,0.2,29_524_shc_2017-19.437,231.86,3.33,292.766,0.51,26.4805,67.5,KARNATAKA,29,16.26199999999992,76.0139999999976,BAGALKOTE,CHIKKAMYAGERI,0.2,0.3,8.2
0.93,Sufficient,0.64,2017-19,BAGALKOT,524,0.17,29_524_shc_2017-19.429,310.73,2.99,201.27,0.35,22.29,21.75,KARNATAKA,29,16.26199999999992,75.99199999999765,BAGALKOTE,DOMNAL,0.2,0.24,8.07
0.45,Deficient,0.81,2017-19,BAGALKOT,524,0.18,29_524_shc_2017-19.447,300.26,3.16,229.295,0.44,32.76,54.5,KARNATAKA,29,16.26199999999992,76.03599999999754,BAGALKOTE,HANDARAGOLLA,0.22,0.27,8.4
0.95,Sufficient,0.39,2017-19,BAGALKOT,524,0.21,29_524_shc_2017-19.422,325.01,2.44,252.31,0.44,20.57,10.0,KARNATAKA,29,16.263999999999918,75.97999999999767,BAGALKOTE,SUTAGUNDAR,0.17,0.22,8.09
0.85,Sufficient,0.8,2017-19,BAGALKOT,524,0.33,29_524_shc_2017-19.218,327.6,3.84,292.35,0.51,15.29,42.75,KARNATAKA,29,16.265999999999917,75.5819999999986,BILGI,KOVALLI,0.53,0.24,8.2
0.49,Deficient,2.26,2017-19,BAGALKOT,524,0.21,29_524_shc_2017-19.66,205.425,4.78,487.25,0.85,4.004,54.25,KARNATAKA,29,16.267999999999915,75.30599999999924,MUDHOL,CHINCHAKHANDI,0.34,0.4,8.0
0.8,Sufficient,0.38,2017-19,BAGALKOT,524,0.19,29_524_shc_2017-19.407,376.76,2.08,194.9,0.35,5.369,17.0,KARNATAKA,29,16.267999999999915,75.95199999999774,BAGALKOTE,MUDVINAKOPPA,0.14,0.33,8.6
1.0,Sufficient,0.91,2017-19,BAGALKOT,524,0.17,29_524_shc_2017-19.431,324.9,3.29,233.29,0.41,19.66,79.0,KARNATAKA,29,16.267999999999915,76.00399999999762,BAGALKOTE,BOMMANAGI,0.21,0.32,8.3
0.96,Sufficient,1.88,2017-19,BAGALKOT,524,0.18,29_524_shc_2017-19.96,188.32,4.48,470.05,0.83,13.01,35.0,KARNATAKA,29,16.269999999999914,75.37199999999909,MUDHOL,ANTUPUR,0.37,0.515,8.1
0.6,Sufficient,1.66,2017-19,BAGALKOT,524,0.32,29_524_shc_2017-19.284,249.863,6.35,481.51,0.84,24.21,35.0,KARNATAKA,29,16.269999999999914,75.70799999999831,BILGI,HERAKAL,0.86,0.46,7.9
