B,Cu,EC,Fe,Feature_ID,K,Mn,N,OC,P,S,Scan_Lat,Scan_Lon,Zn,pH,village
0.2,0.4,0.16,1.49,29_524_shc_2024-25.9478,551.0,5.44,218.0,0.38,40.0,5.0,16.056000000000033,76.10199999999739,0.34,7.7,Binjawadgi
0.25,0.47,0.2,1.7,29_524_shc_2024-25.9534,483.0,5.89,252.0,0.44,41.0,14.5,16.056000000000033,76.10199999999739,0.28,7.6,Binjawadgi
0.28,0.34,0.14,0.93,29_524_shc_2024-25.9616,540.0,2.44,327.0,0.57,49.0,16.0,16.056000000000033,76.10199999999739,0.24,7.3,Binjawadgi
0.99,0.43,0.11,0.94,29_524_shc_2024-25.2425,360.0,3.09,166.0,0.29,40.0,26.7,16.056000000000033,76.11399999999736,0.27,8.2,Binjawadgi
1.23,0.23,0.12,0.55,29_524_shc_2024-25.2433,427.0,1.47,126.0,0.22,45.0,19.0,16.056000000000033,76.11399999999736,0.1,7.9,Binjawadgi
1.01,0.27,0.11,0.86,29_524_shc_2024-25.3741,258.0,2.54,218.0,0.38,35.0,15.7,16.056000000000033,76.11399999999736,0.11,8.3,Binjawadgi
1.12,1.45,0.23,2.5,29_524_shc_2024-25.11423,220.0,2.03,312.0,0.53,24.0,14.2,16.058000000000032,75.45999999999889,0.16,8.14,Hawalakhod
1.35,1.69,0.24,1.96,29_524_shc_2024-25.11426,232.0,1.45,310.0,0.54,16.0,15.2,16.058000000000032,75.45999999999889,0.23,8.35,Hawalakhod
1.45,0.85,0.2,2.53,29_524_shc_2024-25.11427,232.0,1.89,298.0,0.52,20.0,8.56,16.058000000000032,75.45999999999889,0.18,8.11,Hawalakhod
1.56,1.36,0.22,1.25,29_524_shc_2024-25.14302,215.0,1.52,333.0,0.58,20.0,12.0,16.058000000000032,75.45999999999889,0.18,8.36,Hawalakhod
1.63,0.95,0.21,1.85,29_524_shc_2024-25.14304,241.0,1.69,321.0,0.56,18.0,13.6,16.058000000000032,75.45999999999889,0.21,8.26,Hawalakhod
1.35,1.05,0.16,2.36,29_524_shc_2024-25.16298,256.0,1.63,344.0,0.6,26.0,10.3,16.058000000000032,75.45999999999889,0.24,8.25,Hawalakhod
1.53,1.73,0.12,4.55,29_524_shc_2024-25.8455,112.0,5.4,343.0,0.6,13.0,8.5,16.058000000000032,75.46599999999887,0.21,6.7,Fakeerabudihal
1.48,1.55,0.07,3.66,29_524_shc_2024-25.9330,56.0,4.14,229.0,0.4,11.0,9.25,16.058000000000032,75.46599999999887,0.1,6.3,Fakeerabudihal
0.61,0.48,0.1,0.36,29_524_shc_2024-25.18548,146.0,2.4,183.0,0.32,50.0,25.5,16.058000000000032,75.60799999999854,0.73,7.3,Lakkasakoppa
1.37,0.86,0.2,2.71,29_524_shc_2024-25.12373,180.0,3.48,280.0,0.49,30.0,11.0,16.058000000000032,75.99999999999763,0.47,8.7,Bevinamatti
1.12,0.65,0.15,2.18,29_524_shc_2024-25.12539,202.0,5.53,269.0,0.47,36.0,4.75,16.058000000000032,75.99999999999763,0.22,8.5,Bevinamatti
0.35,0.36,0.17,1.08,29_524_shc_2024-25.9925,236.0,2.0,120.0,0.21,54.0,12.5,16.058000000000032,76.10399999999738,0.38,8.1,Binjawadgi
0.61,0.58,0.13,0.37,29_524_shc_2024-25.7964,247.0,2.0,195.0,0.34,13.0,13.5,16.058000000000032,76.03599999999754,0.38,7.3,Hirebadawadgi
0.58,0.68,0.12,0.42,29_524_shc_2024-25.9463,169.0,3.0,178.0,0.31,16.0,11.7,16.058000000000032,76.03599999999754,0.47,7.6,Hirebadawadgi
0.6,0.61,0.21,2.66,29_524_shc_2024-25.18684,219.0,0.87,349.0,0.61,21.0,16.3,16.058000000000032,75.9679999999977,0.3,8.45,Rakkasagi
0.78,0.46,0.21,4.16,29_524_shc_2024-25.14643,213.0,4.76,332.0,0.58,26.0,23.0,16.058000000000032,76.02399999999757,0.36,8.0,Hirebadawadgi
0.42,0.55,0.17,1.08,29_524_shc_2024-25.9481,292.0,2.3,138.0,0.24,42.0,9.25,16.058000000000032,76.10599999999738,0.4,8.2,Binjawadgi
0.42,0.69,0.16,1.28,29_524_shc_2024-25.9676,315.0,2.26,143.0,0.25,36.0,9.5,16.058000000000032,76.10599999999738,0.29,7.9,Binjawadgi
0.32,0.3,0.16,0.87,29_524_shc_2024-25.8370,135.0,2.96,183.0,0.32,51.0,12.0,16.058000000000032,76.17399999999722,0.29,7.3,Tariwal
1.22,0.23,0.22,0.57,29_524_shc_2024-25.449,225.0,1.86,212.0,0.37,55.0,27.0,16.058000000000032,76.11199999999737,0.1,8.4,Binjawadgi
1.02,0.25,0.18,0.76,29_524_shc_2024-25.3353,157.0,1.52,212.0,0.37,46.0,26.2,16.058000000000032,76.11199999999737,0.11,8.6,Binjawadgi
1.03,0.23,0.16,0.7,29_524_shc_2024-25.3742,416.0,2.11,212.0,0.37,31.0,47.0,16.058000000000032,76.11199999999737,0.11,7.8,Binjawadgi
0.92,0.26,0.12,0.72,29_524_shc_2024-25.3977,315.0,1.79,281.0,0.49,25.0,55.0,16.058000000000032,76.11199999999737,0.12,8.4,Binjawadgi
0.55,0.58,0.09,0.8,29_524_shc_2024-25.16585,416.0,2.5,240.0,0.42,42.0,26.5,16.06000000000003,75.60999999999854,0.37,7.5,Lakkasakoppa
0.74,0.36,0.12,0.34,29_524_shc_2024-25.18787,101.0,1.76,166.0,0.29,41.0,9.0,16.06000000000003,75.59999999999856,0.18,7.9,Jammanakatti
0.41,0.3,0.12,0.6,29_524_shc_2024-25.16319,56.0,3.0,235.0,0.41,44.0,8.5,16.06000000000003,75.69599999999834,0.56,7.9,Kelawadi
0.55,0.61,0.14,0.55,29_524_shc_2024-25.17866,101.0,2.88,212.0,0.37,48.0,17.7,16.06000000000003,75.69599999999834,0.48,8.2,Kelawadi
0.52,0.48,0.13,1.09,29_524_shc_2024-25.1526,315.0,1.69,166.0,0.29,28.0,4.75,16.06000000000003,76.10799999999738,0.5,8.2,Binjawadgi
0.99,0.29,0.13,0.63,29_524_shc_2024-25.3576,551.0,3.03,212.0,0.37,40.0,23.2,16.06000000000003,76.11599999999736,0.33,8.4,Binjawadgi
0.56,0.74,0.09,0.54,29_524_shc_2024-25.9516,67.0,2.46,138.0,0.24,38.0,9.25,16.06000000000003,76.17399999999722,0.49,8.0,Budihal (S.K.)
0.54,0.54,0.1,0.86,29_524_shc_2024-25.1552,135.0,2.92,189.0,0.33,18.0,8.25,16.06000000000003,76.17199999999723,0.46,7.8,Budihal (S.K.)
0.63,0.75,0.14,0.92,29_524_shc_2024-25.9642,56.0,2.0,189.0,0.33,20.0,8.75,16.06000000000003,76.17199999999723,0.46,7.3,Budihal (S.K.)
0.58,0.62,0.7,2.42,29_524_shc_2024-25.17144,330.0,4.66,349.0,0.61,20.0,12.0,16.06200000000003,75.6239999999985,0.66,7.4,Hulasageri
0.62,0.86,0.18,4.38,29_524_shc_2024-25.11444,56.0,5.21,178.0,0.31,31.0,8.5,16.06200000000003,75.97999999999767,0.34,8.1,Rakkasagi
0.36,0.81,0.15,4.46,29_524_shc_2024-25.14159,67.0,5.76,269.0,0.47,21.0,9.5,16.06200000000003,75.97999999999767,0.41,8.0,Rakkasagi
0.88,0.69,0.18,3.93,29_524_shc_2024-25.14281,101.0,6.73,178.0,0.31,22.0,7.75,16.06200000000003,75.97999999999767,0.27,8.0,Rakkasagi
0.77,0.61,0.19,3.26,29_524_shc_2024-25.15784,79.0,4.21,218.0,0.38,17.0,19.0,16.06200000000003,75.97999999999767,0.31,7.9,Rakkasagi
1.55,0.54,0.12,1.76,29_524_shc_2024-25.12544,146.0,3.76,275.0,0.48,15.0,13.5,16.06200000000003,75.99999999999763,0.47,8.2,Bevinamatti
1.86,0.73,0.16,1.86,29_524_shc_2024-25.12545,168.0,3.48,252.0,0.44,15.0,14.5,16.06200000000003,75.99999999999763,0.36,7.9,Bevinamatti
0.54,0.52,0.19,0.44,29_524_shc_2024-25.8281,270.0,3.0,132.0,0.23,30.0,9.0,16.06200000000003,76.11999999999735,0.2,7.9,Binjawadgi
0.61,0.34,0.19,0.58,29_524_shc_2024-25.9358,281.0,2.0,138.0,0.24,52.0,9.5,16.06200000000003,76.11999999999735,0.16,8.3,Binjawadgi
0.41,0.26,0.11,0.38,29_524_shc_2024-25.2734,382.0,2.4,166.0,0.29,18.0,14.5,16.06200000000003,76.06999999999746,0.18,8.5,Ghattiganur
0.86,0.8,0.16,1.09,29_524_shc_2024-25.8477,247.0,2.5,195.0,0.34,45.0,12.0,16.06200000000003,76.11599999999736,0.28,7.8,Binjawadgi
0.69,0.22,0.13,0.7,29_524_shc_2024-25.3363,855.0,2.62,189.0,0.33,17.0,25.0,16.06200000000003,76.10999999999737,0.14,8.2,Binjawadgi
0.35,0.92,0.09,0.73,29_524_shc_2024-25.9717,33.0,0.73,166.0,0.29,21.0,3.0,16.06200000000003,76.17599999999722,0.46,7.8,Budihal (S.K.)
1.25,1.41,0.24,2.03,29_524_shc_2024-25.13526,241.0,1.85,312.0,0.53,25.0,14.1,16.06400000000003,75.44999999999891,0.2,8.3,Hawalakhod
1.23,1.52,0.24,1.85,29_524_shc_2024-25.14305,210.0,1.65,310.0,0.54,19.0,12.5,16.06400000000003,75.44999999999891,0.21,8.2,Hawalakhod
1.1,1.11,0.25,2.56,29_524_shc_2024-25.14306,221.0,1.45,298.0,0.52,20.0,6.32,16.06400000000003,75.44999999999891,0.25,8.4,Hawalakhod
0.62,0.54,0.15,0.68,29_524_shc_2024-25.18688,67.0,4.71,326.0,0.57,30.0,20.0,16.06400000000003,75.67599999999838,0.62,6.9,Khazibudihal
0.82,0.41,0.15,2.81,29_524_shc_2024-25.18669,67.0,4.24,217.0,0.38,35.0,12.0,16.06400000000003,75.67399999999839,0.28,7.2,Khazibudihal
1.0,0.36,0.2,0.73,29_524_shc_2024-25.13892,123.0,1.86,235.0,0.41,14.0,19.0,16.06400000000003,75.64199999999846,0.18,8.3,Katageri
0.52,0.19,0.02,2.06,29_524_shc_2024-25.16096,162.0,0.2,335.0,0.57,22.0,21.3,16.06400000000003,75.85599999999796,0.45,8.21,Mullur
0.38,0.34,0.16,0.4,29_524_shc_2024-25.9680,259.0,3.68,166.0,0.29,23.0,13.2,16.06400000000003,76.10599999999738,0.34,8.0,Binjawadgi
0.51,0.73,0.11,0.29,29_524_shc_2024-25.1492,135.0,2.97,206.0,0.36,29.0,15.0,16.06400000000003,76.02399999999757,0.35,7.0,Hungund (Rural)
0.61,0.55,0.1,0.38,29_524_shc_2024-25.1494,191.0,3.48,258.0,0.45,25.0,15.2,16.06400000000003,76.02399999999757,0.48,6.6,Hungund (Rural)
0.58,0.48,0.14,0.29,29_524_shc_2024-25.9282,202.0,2.78,218.0,0.38,30.0,7.75,16.06400000000003,76.02399999999757,0.29,7.1,Hungund (Rural)
2.45,2.01,0.16,2.65,29_524_shc_2024-25.11752,200.0,2.52,310.0,0.54,18.0,15.2,16.066000000000027,75.43399999999895,0.2,7.65,Jangawad
1.75,0.73,0.18,3.0,29_524_shc_2024-25.14247,219.0,3.63,312.0,0.53,25.0,13.6,16.066000000000027,75.43399999999895,0.15,8.23,Jangawad
3.02,0.81,0.15,1.75,29_524_shc_2024-25.14438,211.0,4.52,342.0,0.59,22.0,13.2,16.066000000000027,75.43399999999895,0.19,7.54,Jangawad
2.61,1.96,0.13,1.96,29_524_shc_2024-25.17864,203.0,3.26,356.0,0.62,20.0,14.2,16.066000000000027,75.43399999999895,0.3,8.32,Jangawad
0.36,0.42,0.12,0.92,29_524_shc_2024-25.19407,90.0,3.1,218.0,0.38,20.0,9.0,16.066000000000027,75.67599999999838,0.28,6.6,Khazibudihal
0.51,0.63,0.15,0.47,29_524_shc_2024-25.10699,45.0,2.36,183.0,0.32,13.0,15.0,16.068000000000026,75.70399999999832,0.55,7.9,Kelawadi
0.36,0.34,0.06,3.76,29_524_shc_2024-25.14835,146.0,6.8,269.0,0.47,36.0,19.0,16.068000000000026,75.66399999999841,0.46,6.5,Hangaragi
0.39,0.45,0.66,3.26,29_524_shc_2024-25.17517,354.0,3.2,338.0,0.5,26.0,16.0,16.068000000000026,75.81799999999805,0.85,7.2,Haladur
1.96,2.61,0.23,2.85,29_524_shc_2024-25.19150,299.0,3.21,357.0,0.61,21.0,9.3,16.070000000000025,75.53399999999871,0.31,7.36,Malagi
0.37,0.75,0.16,2.88,29_524_shc_2024-25.19300,191.0,4.26,292.0,0.51,26.0,14.5,16.070000000000025,76.12999999999732,0.43,7.8,Ghattiganur
0.59,0.77,0.16,3.0,29_524_shc_2024-25.19399,191.0,4.0,332.0,0.58,19.0,13.5,16.070000000000025,76.12999999999732,0.39,8.3,Ghattiganur
0.42,0.35,0.32,4.15,29_524_shc_2024-25.16210,365.0,4.4,355.0,0.6,22.0,11.0,16.072000000000024,75.81799999999805,0.65,7.15,Haladur
0.76,0.68,0.13,0.84,29_524_shc_2024-25.13884,123.0,3.18,246.0,0.43,154.0,19.0,16.072000000000024,75.83599999999801,0.69,8.1,Haladur
0.19,0.32,0.13,0.7,29_524_shc_2024-25.9684,236.0,2.0,143.0,0.25,9.0,7.0,16.072000000000024,76.09399999999741,0.56,7.1,Ramawadgi
0.71,0.19,0.12,0.32,29_524_shc_2024-25.2305,337.0,1.12,115.0,0.2,29.0,29.7,16.072000000000024,76.13199999999732,0.21,7.9,Ghattiganur
0.71,0.19,0.12,0.32,29_524_shc_2024-25.3674,337.0,1.12,115.0,0.2,29.0,29.7,16.072000000000024,76.13199999999732,0.21,7.9,Ghattiganur
0.71,0.19,0.12,0.32,29_524_shc_2024-25.3721,337.0,1.12,115.0,0.2,29.0,29.7,16.072000000000024,76.13199999999732,0.21,7.9,Ghattiganur
0.66,0.89,0.09,1.26,29_524_shc_2024-25.9790,33.0,1.26,258.0,0.45,27.0,7.0,16.072000000000024,76.17999999999721,0.87,7.9,Budihal (S.K.)
0.95,0.23,0.25,0.45,29_524_shc_2024-25.2434,371.0,2.15,126.0,0.22,29.0,28.2,16.074000000000023,76.13599999999731,0.1,8.4,Ghattiganur
0.95,0.34,0.09,0.73,29_524_shc_2024-25.3973,259.0,1.77,126.0,0.22,19.0,34.2,16.074000000000023,76.13599999999731,0.12,8.0,Ghattiganur
0.95,0.23,0.25,0.45,29_524_shc_2024-25.3985,371.0,2.15,126.0,0.22,29.0,28.2,16.074000000000023,76.13599999999731,0.1,8.4,Ghattiganur
0.3,0.5,0.16,0.76,29_524_shc_2024-25.10684,382.0,3.0,161.0,0.28,51.0,4.75,16.074000000000023,76.10999999999737,0.53,7.9,Ramawadgi
1.39,0.37,0.19,2.77,29_524_shc_2024-25.12001,225.0,4.86,206.0,0.36,15.0,14.2,16.074000000000023,76.0959999999974,0.18,8.5,Ramawadgi
0.84,2.18,0.19,2.96,29_524_shc_2024-25.12002,202.0,3.89,206.0,0.36,17.0,15.7,16.074000000000023,76.0959999999974,0.26,8.0,Ramawadgi
0.69,2.07,0.19,3.44,29_524_shc_2024-25.12004,180.0,3.55,275.0,0.48,16.0,14.5,16.074000000000023,76.0959999999974,0.38,8.1,Ramawadgi
0.96,2.16,0.22,2.36,29_524_shc_2024-25.12012,292.0,2.89,235.0,0.41,11.0,17.0,16.074000000000023,76.0959999999974,0.47,8.5,Ramawadgi
0.77,0.47,0.19,3.0,29_524_shc_2024-25.12015,180.0,4.55,218.0,0.38,10.0,15.0,16.074000000000023,76.0959999999974,0.19,8.3,Ramawadgi
0.16,0.67,0.15,2.96,29_524_shc_2024-25.6272,157.0,3.9,332.0,0.58,5.0,23.7,16.074000000000023,76.14999999999728,0.31,8.5,Turamari
0.76,0.36,0.25,2.0,29_524_shc_2024-25.11848,169.0,2.88,292.0,0.51,7.0,22.0,16.074000000000023,76.14999999999728,0.42,8.3,Turamari
0.97,0.39,0.11,2.55,29_524_shc_2024-25.12091,168.0,3.45,326.0,0.57,17.0,22.0,16.074000000000023,76.14999999999728,0.47,8.4,Turamari
0.86,0.47,0.17,2.66,29_524_shc_2024-25.12183,180.0,2.48,332.0,0.58,16.0,21.7,16.074000000000023,76.14999999999728,0.28,8.3,Turamari
0.89,0.31,0.18,2.71,29_524_shc_2024-25.12188,236.0,2.73,310.0,0.54,18.0,20.7,16.074000000000023,76.14999999999728,0.34,7.8,Turamari
0.71,0.48,0.17,2.36,29_524_shc_2024-25.12194,191.0,4.21,332.0,0.58,18.0,18.2,16.074000000000023,76.14999999999728,0.39,8.2,Turamari
0.77,0.39,0.25,3.7,29_524_shc_2024-25.12195,191.0,3.0,310.0,0.54,17.0,20.2,16.074000000000023,76.14999999999728,0.35,7.7,Turamari
0.86,0.47,0.2,2.31,29_524_shc_2024-25.12196,180.0,2.77,310.0,0.54,11.0,24.0,16.074000000000023,76.14999999999728,0.36,8.3,Turamari
0.6,0.19,0.24,0.38,29_524_shc_2024-25.15983,382.0,1.82,161.0,0.28,36.0,21.0,16.074000000000023,76.14999999999728,0.21,8.1,Turamari
0.53,0.18,0.18,0.37,29_524_shc_2024-25.15990,382.0,2.13,120.0,0.21,21.0,23.5,16.074000000000023,76.14999999999728,0.14,7.9,Turamari
0.62,0.57,0.1,0.68,29_524_shc_2024-25.9975,135.0,0.68,177.0,0.31,114.0,37.2,16.074000000000023,76.1819999999972,0.8,7.8,Budihal (S.K.)
0.57,0.37,0.1,0.46,29_524_shc_2024-25.9199,78.0,2.76,103.0,0.18,16.0,8.25,16.074000000000023,76.28999999999695,0.44,8.4,Kambalihal
0.35,0.57,0.11,0.47,29_524_shc_2024-25.9200,112.0,3.44,172.0,0.3,23.0,29.7,16.074000000000023,76.28999999999695,0.68,8.2,Kambalihal
0.7,0.25,0.08,0.46,29_524_shc_2024-25.3181,438.0,1.64,235.0,0.41,19.0,24.2,16.074000000000023,76.13199999999732,0.11,8.5,Ghattiganur
0.68,0.48,0.18,3.18,29_524_shc_2024-25.16697,180.0,2.86,332.0,0.58,27.0,20.2,16.074000000000023,76.13199999999732,0.42,8.2,Ghattiganur
0.44,0.58,0.13,0.68,29_524_shc_2024-25.1329,45.0,3.0,149.0,0.26,29.0,4.75,16.074000000000023,76.28799999999696,0.46,7.8,Kambalihal
0.17,0.57,0.11,0.46,29_524_shc_2024-25.7744,202.0,2.86,143.0,0.25,29.0,11.7,16.074000000000023,76.28799999999696,0.26,8.5,Kambalihal
0.43,0.64,0.11,0.57,29_524_shc_2024-25.8915,78.0,2.76,126.0,0.22,22.0,11.7,16.074000000000023,76.28799999999696,0.43,8.2,Kambalihal
0.41,0.44,0.13,0.73,29_524_shc_2024-25.9195,202.0,3.46,138.0,0.24,19.0,10.7,16.074000000000023,76.28799999999696,0.16,8.3,Kambalihal
0.66,0.56,0.08,0.44,29_524_shc_2024-25.18545,236.0,2.48,252.0,0.44,23.0,18.2,16.076000000000022,75.66399999999841,0.63,7.6,Hangaragi
0.5,0.61,0.83,4.51,29_524_shc_2024-25.19121,319.0,4.12,315.0,0.66,23.0,12.0,16.076000000000022,75.63799999999847,0.42,7.8,Katageri
0.81,0.58,0.16,0.68,29_524_shc_2024-25.16574,11.0,3.68,235.0,0.41,19.0,22.2,16.076000000000022,75.81399999999806,0.13,7.1,Budanagad
0.71,0.69,0.22,2.1,29_524_shc_2024-25.5884,124.0,3.94,315.0,0.55,16.0,15.7,16.076000000000022,76.10399999999738,0.17,7.6,Ramawadgi
0.84,0.37,0.23,2.86,29_524_shc_2024-25.5885,191.0,3.26,321.0,0.56,16.0,12.7,16.076000000000022,76.10399999999738,0.26,8.4,Ramawadgi
1.26,0.57,0.17,3.0,29_524_shc_2024-25.11606,123.0,2.44,269.0,0.47,24.0,18.0,16.076000000000022,76.10399999999738,0.19,7.2,Ramawadgi
1.31,0.51,0.23,3.1,29_524_shc_2024-25.11827,101.0,2.32,252.0,0.44,26.0,18.2,16.076000000000022,76.10399999999738,0.27,8.4,Ramawadgi
1.4,0.48,0.2,2.1,29_524_shc_2024-25.11988,157.0,3.86,263.0,0.46,18.0,19.0,16.076000000000022,76.10399999999738,0.18,7.2,Ramawadgi
0.71,0.57,0.19,3.0,29_524_shc_2024-25.11989,180.0,3.18,310.0,0.54,16.0,16.0,16.076000000000022,76.10399999999738,0.31,8.2,Ramawadgi
0.68,0.67,0.21,2.86,29_524_shc_2024-25.11990,112.0,3.99,292.0,0.51,26.0,21.0,16.076000000000022,76.10399999999738,0.29,8.0,Ramawadgi
0.68,0.39,0.18,21.3,29_524_shc_2024-25.11991,247.0,3.18,292.0,0.51,11.0,14.2,16.076000000000022,76.10399999999738,0.31,7.9,Ramawadgi
0.96,0.48,0.21,3.48,29_524_shc_2024-25.12007,202.0,3.96,332.0,0.58,17.0,21.0,16.076000000000022,76.10399999999738,0.47,8.8,Ramawadgi
0.55,0.19,0.13,0.45,29_524_shc_2024-25.4249,348.0,1.3,178.0,0.31,10.0,14.5,16.076000000000022,76.13199999999732,0.13,8.2,Ghattiganur
0.42,0.49,0.14,0.68,29_524_shc_2024-25.9794,191.0,1.56,172.0,0.3,36.0,15.2,16.076000000000022,76.1819999999972,0.4,7.1,Hemawadgi
0.96,0.55,0.16,1.72,29_524_shc_2024-25.11879,168.0,3.31,310.0,0.54,13.0,18.2,16.076000000000022,76.14599999999729,0.32,8.5,Turamari
1.36,1.96,0.34,2.3,29_524_shc_2024-25.19225,176.0,2.14,287.0,0.5,16.0,14.2,16.07800000000002,75.57599999999861,0.25,7.85,Hoolageri
0.97,0.68,0.14,1.89,29_524_shc_2024-25.6956,191.0,3.96,321.0,0.56,13.0,17.0,16.07800000000002,76.16199999999725,0.26,6.9,Turamari
0.93,0.86,0.2,2.08,29_524_shc_2024-25.12128,157.0,4.26,326.0,0.57,13.0,17.0,16.07800000000002,76.16199999999725,0.36,8.2,Turamari
0.98,0.97,0.18,2.96,29_524_shc_2024-25.12200,168.0,4.78,321.0,0.56,18.0,17.2,16.07800000000002,76.16199999999725,0.42,8.4,Turamari
0.66,0.77,0.19,1.77,29_524_shc_2024-25.12245,157.0,2.86,332.0,0.58,8.0,15.5,16.07800000000002,76.16199999999725,0.48,7.5,Turamari
0.78,0.4,0.14,2.55,29_524_shc_2024-25.12274,202.0,2.77,321.0,0.56,9.0,23.2,16.07800000000002,76.16199999999725,0.22,7.4,Turamari
0.76,0.68,0.13,1.68,29_524_shc_2024-25.12275,146.0,2.97,292.0,0.51,17.0,0.16,16.07800000000002,76.16199999999725,0.36,7.4,Turamari
0.96,0.55,0.18,2.35,29_524_shc_2024-25.12276,180.0,3.18,332.0,0.58,9.0,16.0,16.07800000000002,76.16199999999725,0.36,7.8,Turamari
0.59,0.21,0.1,0.43,29_524_shc_2024-25.4401,382.0,2.07,120.0,0.21,25.0,22.0,16.07800000000002,76.13599999999731,0.22,8.4,Ghattiganur
0.86,0.74,0.35,1.68,29_524_shc_2024-25.11876,157.0,3.86,269.0,0.47,8.0,16.7,16.07800000000002,76.14599999999729,0.34,8.2,Turamari
0.29,0.52,0.15,2.39,29_524_shc_2024-25.11880,157.0,2.83,321.0,0.56,22.0,23.5,16.07800000000002,76.14599999999729,0.31,8.1,Turamari
0.96,0.26,0.25,2.36,29_524_shc_2024-25.11881,191.0,2.76,332.0,0.58,14.0,15.0,16.07800000000002,76.14599999999729,0.28,8.8,Turamari
1.3,0.64,0.15,1.77,29_524_shc_2024-25.12125,146.0,2.77,275.0,0.48,6.0,16.0,16.07800000000002,76.14599999999729,0.5,8.5,Turamari
1.26,0.63,0.21,1.86,29_524_shc_2024-25.12198,180.0,2.86,263.0,0.46,5.0,17.0,16.07800000000002,76.14599999999729,0.47,8.3,Turamari
0.31,0.56,0.24,0.46,29_524_shc_2024-25.1496,855.0,1.98,137.0,0.24,55.0,11.7,16.07800000000002,75.88599999999789,0.35,7.5,Ramawadgi
0.51,0.37,0.24,0.56,29_524_shc_2024-25.1595,956.0,3.0,166.0,0.29,54.0,13.2,16.07800000000002,75.88599999999789,0.37,7.4,Ramawadgi
0.47,0.6,0.46,0.78,29_524_shc_2024-25.9283,900.0,2.88,138.0,0.24,54.0,31.7,16.07800000000002,75.88599999999789,0.46,7.3,Ramawadgi
0.3,0.46,0.29,0.79,29_524_shc_2024-25.10014,607.0,1.09,161.0,0.28,54.0,10.0,16.07800000000002,75.88599999999789,0.59,7.8,Ramawadgi
0.48,0.17,0.09,0.52,29_524_shc_2024-25.4189,337.0,1.47,149.0,0.26,28.0,14.7,16.07800000000002,76.1379999999973,0.27,8.7,Ghattiganur
0.71,0.56,0.18,1.68,29_524_shc_2024-25.11617,180.0,3.16,332.0,0.58,20.0,14.5,16.08000000000002,76.10199999999739,0.18,7.0,Ramawadgi
0.86,0.47,0.25,2.18,29_524_shc_2024-25.11618,191.0,3.18,292.0,0.51,17.0,15.5,16.08000000000002,76.10199999999739,0.14,7.9,Ramawadgi
0.73,0.53,0.2,2.87,29_524_shc_2024-25.11619,124.0,2.96,310.0,0.54,23.0,14.2,16.08000000000002,76.10199999999739,0.19,7.0,Ramawadgi
0.68,0.48,0.16,2.87,29_524_shc_2024-25.11995,202.0,1.93,292.0,0.51,15.0,18.2,16.08000000000002,76.10199999999739,0.19,7.0,Ramawadgi
0.65,0.29,0.12,0.49,29_524_shc_2024-25.4451,405.0,1.67,229.0,0.4,11.0,14.2,16.08000000000002,76.12999999999732,0.19,8.7,Ghattiganur
0.81,0.33,0.11,0.31,29_524_shc_2024-25.561,360.0,1.82,92.0,0.16,3.0,8.25,16.08000000000002,76.13199999999732,0.2,7.25,Ghattiganur
0.71,0.71,0.38,0.36,29_524_shc_2024-25.9531,180.0,2.86,189.0,0.33,10.0,12.0,16.08000000000002,76.11199999999737,0.33,8.7,Hagedal
0.68,0.58,0.17,0.76,29_524_shc_2024-25.9622,191.0,3.0,166.0,0.29,16.0,18.5,16.08000000000002,76.11199999999737,0.26,8.5,Hagedal
0.68,0.98,0.12,0.54,29_524_shc_2024-25.18110,146.0,1.93,263.0,0.46,42.0,3.75,16.08200000000002,75.837999999998,0.44,7.4,Injanawari
0.77,0.17,0.09,0.49,29_524_shc_2024-25.4331,315.0,1.8,60.0,0.1,15.0,23.5,16.08200000000002,76.13599999999731,0.13,7.9,Ghattiganur
0.68,0.46,0.2,1.26,29_524_shc_2024-25.8297,585.0,3.0,223.0,0.39,11.0,23.7,16.08200000000002,76.11399999999736,0.46,8.3,Hagedal
1.08,0.6,0.17,2.86,29_524_shc_2024-25.5927,135.0,2.18,309.0,0.54,17.0,14.7,16.08200000000002,76.10399999999738,0.24,7.3,Ramawadgi
13.2,5.1,0.2,0.7,29_524_shc_2024-25.11624,202.0,1.12,338.0,0.59,16.0,14.0,16.08200000000002,76.10399999999738,3.01,8.3,Ramawadgi
0.56,0.55,0.17,3.2,29_524_shc_2024-25.11870,135.0,2.89,332.0,0.58,18.0,16.7,16.08200000000002,76.10399999999738,0.19,8.0,Ramawadgi
1.3,0.38,0.26,2.71,29_524_shc_2024-25.11871,146.0,3.37,332.0,0.58,16.0,14.0,16.08200000000002,76.10399999999738,0.55,7.1,Ramawadgi
1.08,0.45,0.22,3.0,29_524_shc_2024-25.12029,169.0,3.86,326.0,0.57,17.0,14.5,16.08200000000002,76.10399999999738,0.41,8.6,Ramawadgi
0.96,0.42,0.2,2.41,29_524_shc_2024-25.12246,168.0,2.66,269.0,0.47,8.0,13.0,16.08200000000002,76.16399999999724,0.21,8.5,Turamari
0.55,0.25,0.1,0.6,29_524_shc_2024-25.4450,360.0,1.6,143.0,0.25,19.0,13.5,16.08200000000002,76.12999999999732,0.13,8.1,Ghattiganur
1.13,0.26,0.1,0.43,29_524_shc_2024-25.4496,394.0,1.72,178.0,0.31,13.0,12.7,16.08200000000002,76.12999999999732,0.13,8.3,Ghattiganur
